GEOID,NAME,LSAD
"36100","Ocala, FL",M1
"34580","Mount Vernon-Anacortes, WA",M1
"15660","Calhoun, GA",M2
"32700","McPherson, KS",M2
"45780","Toledo, OH",M1
"26700","Huron, SD",M2
"32380","Mason City, IA",M2
"44180","Springfield, MO",M1
"48580","Whitewater, WI",M2
"47580","Warner Robins, GA",M1
"40700","Roseburg, OR",M2
"33380","Minden, LA",M2
"22580","Forest City, NC",M2
"44340","Statesboro, GA",M2
"31540","Madison, WI",M1
"10900","Allentown-Bethlehem-Easton, PA-NJ",M1
"25720","Heber, UT",M2
"13380","Bellingham, WA",M1
"18860","Crescent City, CA",M2
"46660","Valdosta, GA",M1
"43340","Shreveport-Bossier City, LA",M1
"20020","Dothan, AL",M1
"48900","Wilmington, NC",M1
"27380","Jacksonville, TX",M2
"14860","Bridgeport-Stamford-Norwalk, CT",M1
"29420","Lake Havasu City-Kingman, AZ",M1
"13720","Big Stone Gap, VA",M2
"35060","Natchitoches, LA",M2
"10140","Aberdeen, WA",M2
"26260","Hope, AR",M2
"46860","Vernal, UT",M2
"39340","Provo-Orem, UT",M1
"16540","Chambersburg-Waynesboro, PA",M1
"27460","Jamestown-Dunkirk-Fredonia, NY",M2
"46340","Tyler, TX",M1
"37340","Palm Bay-Melbourne-Titusville, FL",M1
"29700","Laredo, TX",M1
"14820","Brevard, NC",M2
"34340","Mount Airy, NC",M2
"40220","Roanoke, VA",M1
"22900","Fort Smith, AR-OK",M1
"18880","Crestview-Fort Walton Beach-Destin, FL",M1
"30460","Lexington-Fayette, KY",M1
"22800","Fort Madison-Keokuk, IA-IL-MO",M2
"21740","Evanston, WY",M2
"47260","Virginia Beach-Norfolk-Newport News, VA-NC",M1
"44140","Springfield, MA",M1
"49180","Winston-Salem, NC",M1
"26580","Huntington-Ashland, WV-KY-OH",M1
"29200","Lafayette-West Lafayette, IN",M1
"16740","Charlotte-Concord-Gastonia, NC-SC",M1
"29100","La Crosse-Onalaska, WI-MN",M1
"16500","Centralia, WA",M2
"12580","Baltimore-Columbia-Towson, MD",M1
"28900","Klamath Falls, OR",M2
"31300","Lumberton, NC",M2
"36740","Orlando-Kissimmee-Sanford, FL",M1
"47080","Vidalia, GA",M2
"11700","Asheville, NC",M1
"49100","Winona, MN",M2
"12780","Bartlesville, OK",M2
"13420","Bemidji, MN",M2
"14100","Bloomsburg-Berwick, PA",M1
"45580","Thomaston, GA",M2
"37060","Oxford, MS",M2
"44780","Sturgis, MI",M2
"13900","Bismarck, ND",M1
"17860","Columbia, MO",M1
"43320","Show Low, AZ",M2
"13340","Bellefontaine, OH",M2
"38500","Plymouth, IN",M2
"16340","Cedartown, GA",M2
"17660","Coeur d'Alene, ID",M1
"47660","Warrensburg, MO",M2
"32940","Meridian, MS",M2
"25840","Hermiston-Pendleton, OR",M2
"38860","Portland-South Portland, ME",M1
"31180","Lubbock, TX",M1
"21840","Fairfield, IA",M2
"19780","Des Moines-West Des Moines, IA",M1
"49380","Worthington, MN",M2
"20220","Dubuque, IA",M1
"39500","Quincy, IL-MO",M2
"41500","Salinas, CA",M1
"42380","Sayre, PA",M2
"27180","Jackson, TN",M1
"30940","London, KY",M2
"49660","Youngstown-Warren-Boardman, OH-PA",M1
